time,frequency,confidence
0.976,749.297,0.818638
0.980,748.873,0.823973
0.984,748.500,0.825608
0.988,747.353,0.786914
0.992,672.932,0.621377
0.996,600.460,0.809949
1.000,525.574,0.885612
1.004,496.519,0.911397
1.008,496.726,0.920614
1.012,496.847,0.926748
1.016,496.921,0.934458
1.020,496.968,0.940835
1.024,496.921,0.948063
1.028,496.854,0.954181
1.032,496.780,0.959096
1.036,496.771,0.961984
1.040,496.691,0.966027
1.044,496.586,0.969759
1.048,496.381,0.972586
1.052,496.231,0.974394
1.056,496.104,0.975100
1.060,496.027,0.975441
1.064,496.051,0.975468
1.068,496.123,0.975813
1.072,496.239,0.975707
1.076,496.372,0.974986
1.080,496.410,0.974165
1.084,496.366,0.973470
1.088,496.226,0.973365
1.092,496.136,0.973400
1.096,495.989,0.973552
1.100,495.886,0.973697
1.104,495.867,0.973703
1.108,495.893,0.973571
1.112,495.934,0.973033
1.116,495.953,0.972099
1.120,495.999,0.971087
1.124,496.085,0.970060
1.128,496.146,0.969324
1.132,496.154,0.969532
1.136,496.125,0.970393
1.140,496.005,0.971602
1.144,495.811,0.973455
1.148,495.531,0.976325
1.152,495.248,0.978204
1.156,494.996,0.978787
1.160,494.840,0.978811
1.164,494.792,0.978671
1.168,494.817,0.978146
1.172,494.948,0.977805
1.176,495.110,0.977212
1.180,495.253,0.977100
1.184,495.360,0.976708
1.188,495.416,0.976291
1.192,495.379,0.975529
1.196,495.205,0.974195
1.200,494.939,0.973523
1.204,494.826,0.970747
1.208,494.925,0.965784
1.212,495.266,0.956796
1.216,495.731,0.933179
1.220,496.439,0.873136
1.224,496.970,0.762834
1.228,497.060,0.557736
1.232,537.661,0.425796
1.236,585.477,0.745688
1.240,586.606,0.898652
1.244,587.693,0.957837
1.248,588.665,0.976430
1.252,589.379,0.980913
1.256,589.757,0.981918
1.260,590.160,0.981002
1.264,590.405,0.981767
1.268,590.544,0.982574
1.272,590.625,0.982794
1.276,590.592,0.983406
1.280,590.555,0.984235
1.284,590.604,0.983784
1.288,590.469,0.984494
1.292,590.309,0.985349
1.296,590.252,0.986528
1.300,590.237,0.986518
1.304,590.265,0.986096
1.308,590.544,0.985261
1.312,590.703,0.983602
1.316,590.806,0.983546
1.320,591.016,0.982614
1.324,591.201,0.980798
1.328,591.386,0.980549
1.332,591.635,0.978652
1.336,591.467,0.979066
1.340,591.569,0.978121
1.344,591.739,0.976944
1.348,591.849,0.975937
1.352,591.916,0.975102
1.356,591.952,0.975385
1.360,591.878,0.977131
1.364,591.725,0.978248
1.368,591.571,0.979730
1.372,591.641,0.979115
1.376,591.521,0.980523
1.380,591.562,0.979073
1.384,591.400,0.978847
1.388,591.649,0.974742
1.392,591.420,0.975308
1.396,591.151,0.975792
1.400,591.336,0.972066
1.404,591.472,0.968260
1.408,591.531,0.966221
1.412,591.780,0.963180
1.416,591.717,0.959428
1.420,592.255,0.953603
1.424,592.358,0.955116
1.428,592.352,0.959244
1.432,592.716,0.957883
1.436,592.680,0.960280
1.440,592.510,0.959684
1.444,592.268,0.959653
1.448,592.410,0.947560
1.452,592.743,0.911257
1.456,592.670,0.827234
1.460,592.656,0.740237
1.464,592.390,0.641128
1.468,592.665,0.455411
1.472,592.441,0.312551
1.476,656.570,0.182372
1.480,748.008,0.257256
1.484,749.046,0.340547
1.488,748.773,0.510193
1.492,747.494,0.578668
1.496,746.945,0.641931
1.500,746.321,0.729967
1.504,746.155,0.779675
1.508,745.693,0.816402
1.512,745.588,0.841350
1.516,746.281,0.853125
1.520,746.164,0.867775
1.524,746.073,0.868883
1.528,745.987,0.871333
1.532,745.244,0.874437
1.536,745.378,0.874252
1.540,745.038,0.877738
1.544,744.774,0.874918
1.548,745.056,0.872544
1.552,744.673,0.878073
1.556,744.580,0.875602
1.560,744.553,0.881654
1.564,744.366,0.880448
1.568,744.565,0.885278
1.572,744.308,0.893091
1.576,744.359,0.892827
1.580,744.312,0.899232
1.584,744.383,0.900866
1.588,744.475,0.903206
1.592,744.348,0.906646
1.596,744.532,0.904004
1.600,744.768,0.902921
1.604,744.863,0.900909
1.608,745.405,0.895135
1.612,745.557,0.897332
1.616,745.771,0.894226
1.620,746.233,0.890596
1.624,746.806,0.882955
1.628,748.098,0.875686
1.632,748.616,0.872429
1.636,749.715,0.861814
1.640,751.033,0.823402
1.644,751.976,0.762875
1.648,753.226,0.609127
1.652,752.467,0.399537
1.656,851.435,0.208290
1.660,971.746,0.392538
1.664,971.850,0.610421
1.668,972.874,0.674536
1.672,974.703,0.737850
1.676,976.059,0.786878
1.680,977.186,0.790662
1.684,977.798,0.792862
1.688,978.260,0.797364
1.692,978.044,0.787716
1.696,978.154,0.797355
1.700,978.464,0.812651
1.704,979.136,0.840748
1.708,979.797,0.844824
1.712,980.359,0.853343
1.716,981.273,0.850447
1.720,981.781,0.855199
1.724,982.137,0.862690
1.728,982.582,0.888244
1.732,982.559,0.894408
1.736,982.479,0.899866
1.740,982.571,0.896171
1.744,982.782,0.895007
1.748,982.065,0.897258
1.752,981.845,0.898251
1.756,981.372,0.908844
1.760,981.513,0.916742
1.764,981.512,0.922242
1.768,981.476,0.919411
1.772,981.822,0.923313
1.776,982.034,0.923628
1.780,982.390,0.928046
1.784,983.146,0.930454
1.788,984.186,0.932030
1.792,985.476,0.945141
1.796,986.169,0.949146
1.800,986.701,0.949038
1.804,987.080,0.944761
1.808,986.869,0.939898
1.812,986.282,0.930083
1.816,985.877,0.926363
1.820,985.027,0.926039
1.824,984.184,0.927056
1.828,983.572,0.933997
1.832,983.560,0.933200
1.836,983.866,0.929806
1.840,983.186,0.930022
1.844,981.763,0.935282
1.848,980.725,0.937528
1.852,979.352,0.942308
1.856,978.138,0.943881
1.860,977.389,0.941927
1.864,977.165,0.934997
1.868,976.493,0.923187
1.872,975.567,0.902393
1.876,974.509,0.851665
1.880,973.848,0.702559
1.884,863.749,0.393585
1.888,782.978,0.522343
1.892,782.226,0.793924
1.896,781.489,0.891388
1.900,781.372,0.927414
1.904,781.200,0.942064
1.908,781.019,0.944972
1.912,780.867,0.947134
1.916,780.695,0.947438
1.920,780.529,0.951452
1.924,780.257,0.954902
1.928,780.521,0.953045
1.932,780.523,0.951187
1.936,780.780,0.948150
1.940,780.960,0.945316
1.944,781.097,0.941959
1.948,781.539,0.942555
1.952,781.897,0.948900
1.956,782.133,0.951798
1.960,782.669,0.955857
1.964,783.095,0.958325
1.968,783.642,0.960523
1.972,784.120,0.961402
1.976,784.889,0.959720
1.980,785.454,0.958188
1.984,785.909,0.954415
1.988,786.146,0.955312
1.992,786.354,0.948098
1.996,786.490,0.946692
2.000,786.142,0.947006
2.004,786.012,0.945329
2.008,785.597,0.942506
2.012,785.264,0.945427
2.016,784.710,0.946496
2.020,784.548,0.946466
2.024,784.013,0.946703
2.028,783.529,0.946334
2.032,783.347,0.948376
2.036,783.174,0.948665
2.040,782.723,0.945785
2.044,782.313,0.945991
2.048,782.268,0.946123
2.052,782.205,0.947180
2.056,781.823,0.945489
2.060,781.514,0.940724
2.064,781.237,0.927900
2.068,781.049,0.915384
2.072,780.548,0.915999
2.076,780.335,0.909745
2.080,779.915,0.886774
2.084,780.109,0.821270
2.088,780.498,0.691681
2.092,712.008,0.444263
2.096,664.608,0.627458
2.100,664.272,0.739026
2.104,663.509,0.799242
2.108,664.908,0.750909
2.112,665.085,0.694747
2.116,664.933,0.681667
2.120,664.815,0.659896
2.124,664.525,0.679477
2.128,664.284,0.704132
2.132,664.086,0.733080
2.136,664.542,0.700419
2.140,664.067,0.757143
2.144,664.398,0.758016
2.148,664.033,0.815671
2.152,664.598,0.823096
2.156,663.700,0.866590
2.160,663.662,0.898239
2.164,663.403,0.899754
2.168,663.439,0.902428
2.172,662.940,0.913178
2.176,663.073,0.908519
2.180,662.846,0.915505
2.184,662.608,0.920468
2.188,662.466,0.919819
2.192,662.199,0.925644
2.196,661.908,0.929617
2.200,661.799,0.928382
2.204,662.042,0.935497
2.208,662.069,0.935582
2.212,662.135,0.935729
2.216,662.209,0.935101
2.220,662.589,0.936729
2.224,662.568,0.935557
2.228,662.956,0.939227
2.232,663.048,0.936181
2.236,663.023,0.937900
2.240,662.758,0.942442
2.244,662.835,0.942582
2.248,662.727,0.940858
2.252,662.471,0.945645
2.256,662.352,0.944125
2.260,662.338,0.940358
2.264,661.789,0.939592
2.268,661.922,0.924208
2.272,661.663,0.909553
2.276,661.596,0.889395
2.280,661.231,0.868492
2.284,661.542,0.841295
2.288,661.305,0.857447
2.292,661.501,0.830235
2.296,661.457,0.859227
2.300,661.644,0.869933
2.304,661.778,0.858450
2.308,661.978,0.809552
2.312,661.866,0.526960
2.316,586.920,0.559781
2.320,556.217,0.769327
2.324,557.560,0.840101
2.328,558.219,0.868057
2.332,558.936,0.879861
2.336,559.341,0.876411
