time,frequency,confidence
0.980,497.141,0.964761
0.984,497.197,0.964629
0.988,497.029,0.965388
0.992,496.719,0.968704
0.996,496.438,0.970722
1.000,496.097,0.972208
1.004,495.771,0.972862
1.008,495.536,0.973285
1.012,495.333,0.972762
1.016,495.152,0.971550
1.020,494.953,0.969446
1.024,494.780,0.966901
1.028,494.643,0.965402
1.032,494.588,0.964385
1.036,494.599,0.963663
1.040,494.676,0.964166
1.044,494.849,0.965994
1.048,495.169,0.968697
1.052,495.449,0.970239
1.056,495.487,0.970721
1.060,495.398,0.971244
1.064,495.223,0.971319
1.068,495.042,0.969776
1.072,494.919,0.965741
1.076,494.836,0.959584
1.080,494.831,0.952375
1.084,495.020,0.943747
1.088,495.283,0.934810
1.092,495.458,0.923993
1.096,495.544,0.914965
1.100,495.525,0.914738
1.104,495.322,0.919683
1.108,494.813,0.924407
1.112,494.177,0.925470
1.116,493.606,0.920069
1.120,493.427,0.910185
1.124,493.626,0.898214
1.128,493.874,0.884161
1.132,494.245,0.848772
1.136,494.778,0.799470
1.140,495.396,0.721156
1.144,495.615,0.727650
1.148,495.593,0.714713
1.152,495.472,0.784196
1.156,495.258,0.876721
1.160,451.112,0.914398
1.164,399.909,0.919634
1.168,339.648,0.920590
1.172,320.907,0.875857
1.176,272.427,0.649428
1.180,247.943,0.782066
1.184,247.719,0.841554
1.188,247.556,0.878305
1.192,247.477,0.900158
1.196,247.415,0.915063
1.200,247.181,0.921846
1.204,246.959,0.924117
1.208,246.880,0.925116
1.212,246.956,0.927909
1.216,246.855,0.923198
1.220,246.655,0.914381
1.224,246.335,0.911190
1.228,246.075,0.924431
1.232,245.870,0.933277
1.236,245.668,0.939240
1.240,245.473,0.943615
1.244,245.384,0.946443
1.248,245.380,0.948408
1.252,245.426,0.950902
1.256,245.549,0.950662
1.260,245.798,0.945094
1.264,246.096,0.936781
1.268,246.439,0.918313
1.272,246.836,0.920031
1.276,247.272,0.931892
1.280,247.605,0.937540
1.284,247.855,0.939071
1.288,248.047,0.939927
1.292,248.128,0.941349
1.296,248.130,0.942998
1.300,248.123,0.944752
1.304,248.096,0.946253
1.308,247.971,0.947380
1.312,247.759,0.947141
1.316,247.489,0.944228
1.320,247.193,0.937945
1.324,246.866,0.928564
1.328,246.551,0.913146
1.332,246.211,0.919948
1.336,245.921,0.933697
1.340,245.731,0.942378
1.344,245.624,0.946500
1.348,245.619,0.947781
1.352,245.652,0.947115
1.356,245.717,0.944606
1.360,245.850,0.938275
1.364,246.016,0.929873
1.368,246.127,0.922330
1.372,246.258,0.915146
1.376,246.392,0.906663
1.380,246.581,0.901910
1.384,246.737,0.904795
1.388,246.895,0.906271
1.392,247.033,0.905609
1.396,247.126,0.901872
1.400,247.108,0.891926
1.404,246.988,0.877666
1.408,246.853,0.859085
1.412,246.675,0.837550
1.416,246.669,0.823498
1.420,246.715,0.807908
1.424,246.920,0.778641
1.428,247.462,0.690481
1.432,247.901,0.569292
1.436,248.270,0.555054
1.440,248.554,0.552305
1.444,248.566,0.312988
1.448,248.806,0.245536
1.452,269.432,0.504107
1.456,293.091,0.648605
1.460,292.506,0.714020
1.464,292.259,0.783415
1.468,292.250,0.840980
1.472,292.280,0.884697
1.476,292.394,0.909186
1.480,292.548,0.923445
1.484,292.857,0.926648
1.488,293.057,0.932857
1.492,293.328,0.952513
1.496,293.287,0.953433
1.500,293.420,0.960911
1.504,293.316,0.957765
1.508,293.330,0.961194
1.512,293.391,0.962070
1.516,293.391,0.960747
1.520,293.385,0.963529
1.524,293.456,0.963202
1.528,293.367,0.962546
1.532,293.419,0.965179
1.536,293.492,0.964895
1.540,293.555,0.966484
1.544,293.538,0.965519
1.548,293.639,0.966639
1.552,293.574,0.962559
1.556,293.512,0.964995
1.560,293.529,0.962420
1.564,293.392,0.956676
1.568,293.409,0.959797
1.572,293.483,0.960498
1.576,293.428,0.960474
1.580,293.313,0.957253
1.584,293.257,0.954430
1.588,293.183,0.955822
1.592,293.352,0.961520
1.596,293.380,0.960389
1.600,293.316,0.958343
1.604,293.237,0.956368
1.608,293.229,0.953023
1.612,293.245,0.957016
1.616,293.270,0.952474
1.620,293.110,0.942550
1.624,292.915,0.926591
1.628,292.738,0.906095
1.632,292.405,0.895964
1.636,292.122,0.878104
1.640,292.072,0.852561
1.644,291.283,0.825580
1.648,290.508,0.783750
1.652,290.191,0.742365
1.656,290.129,0.735496
1.660,291.080,0.788506
1.664,291.454,0.785555
1.668,291.647,0.769058
1.672,292.428,0.724430
1.676,292.894,0.697772
1.680,293.356,0.675768
1.684,294.164,0.600493
1.688,320.749,0.570939
1.692,368.911,0.722395
1.696,369.672,0.741804
1.700,369.846,0.819720
1.704,369.902,0.847691
1.708,370.084,0.835660
1.712,371.027,0.874031
1.716,370.985,0.892176
1.720,371.230,0.893703
1.724,371.410,0.889261
1.728,371.935,0.910675
1.732,371.859,0.905701
1.736,372.307,0.902606
1.740,372.611,0.911256
1.744,372.701,0.918111
1.748,372.798,0.915210
1.752,372.723,0.918071
1.756,372.762,0.920403
1.760,372.530,0.926773
1.764,372.605,0.926121
1.768,372.573,0.927662
1.772,372.650,0.924701
1.776,372.706,0.919429
1.780,372.837,0.916061
1.784,372.739,0.923985
1.788,372.815,0.914328
1.792,372.709,0.919193
1.796,372.640,0.919544
1.800,372.472,0.920072
1.804,372.457,0.920142
1.808,372.322,0.925264
1.812,372.276,0.920865
1.816,372.182,0.916463
1.820,372.271,0.921493
1.824,372.025,0.920162
1.828,372.370,0.916959
1.832,372.269,0.918461
1.836,372.231,0.922228
1.840,371.980,0.916218
1.844,371.966,0.912875
1.848,371.322,0.904064
1.852,371.641,0.883690
1.856,371.651,0.848937
1.860,372.035,0.821771
1.864,372.561,0.742529
1.868,373.615,0.662175
1.872,374.007,0.648193
1.876,374.231,0.688156
1.880,401.760,0.655479
1.884,460.392,0.611311
1.888,495.476,0.417977
1.892,496.519,0.655076
1.896,496.381,0.781537
1.900,497.235,0.834503
1.904,498.003,0.857961
1.908,498.098,0.877863
1.912,499.043,0.892354
1.916,499.385,0.910891
1.920,499.488,0.921879
1.924,499.573,0.926494
1.928,499.583,0.930276
1.932,499.617,0.931523
1.936,499.488,0.930665
1.940,499.472,0.930358
1.944,499.345,0.930711
1.948,499.294,0.931373
1.952,499.161,0.929694
1.956,499.172,0.931584
1.960,498.995,0.928312
1.964,499.037,0.931627
1.968,498.914,0.929776
1.972,498.872,0.930496
1.976,498.769,0.932333
1.980,498.809,0.931757
1.984,498.698,0.935247
1.988,498.734,0.935891
1.992,498.654,0.938151
1.996,498.582,0.941949
2.000,498.583,0.942912
2.004,498.500,0.945677
2.008,498.461,0.946572
2.012,498.382,0.949770
2.016,498.281,0.951578
2.020,498.138,0.954783
2.024,498.059,0.955267
2.028,497.980,0.956240
2.032,497.917,0.955355
2.036,497.859,0.956038
2.040,497.786,0.955490
2.044,497.776,0.954064
2.048,497.765,0.950996
2.052,497.753,0.948483
