time,frequency,confidence
0.980,651.189,0.083614
0.984,653.444,0.057387
0.988,651.881,0.047569
0.992,646.571,0.045895
0.996,637.936,0.073684
1.000,635.790,0.102101
1.004,634.634,0.065655
1.008,632.414,0.059985
1.012,631.517,0.037100
1.016,629.862,0.067667
1.020,630.814,0.021663
1.024,630.423,0.019500
1.028,632.768,0.034611
1.032,632.221,0.046123
1.036,633.528,0.105437
1.040,633.629,0.102571
1.044,590.611,0.096441
1.048,590.173,0.086078
1.052,591.485,0.083584
1.056,572.044,0.074717
1.060,533.343,0.071676
1.064,504.518,0.086986
1.068,493.187,0.196835
1.072,490.556,0.266454
1.076,490.533,0.455283
1.080,488.526,0.270176
1.084,486.763,0.437439
1.088,485.783,0.467609
1.092,485.112,0.472547
1.096,484.436,0.304750
1.100,483.739,0.172088
1.104,478.705,0.153317
1.108,476.782,0.132218
1.112,486.176,0.222754
1.116,488.428,0.444643
1.120,490.456,0.633465
1.124,492.840,0.769688
1.128,493.995,0.855021
1.132,495.272,0.903001
1.136,496.015,0.928931
1.140,496.394,0.946358
1.144,496.707,0.954095
1.148,496.817,0.959275
1.152,496.697,0.964021
1.156,496.470,0.968400
1.160,496.163,0.971758
1.164,495.650,0.973279
1.168,495.046,0.972586
1.172,494.480,0.969104
1.176,493.952,0.963629
1.180,493.393,0.953932
1.184,492.891,0.940991
1.188,492.420,0.929146
1.192,491.904,0.938965
1.196,491.258,0.940919
1.200,490.495,0.936274
1.204,489.897,0.921466
1.208,489.396,0.902077
1.212,489.367,0.881926
1.216,489.829,0.850419
1.220,490.660,0.821268
1.224,491.224,0.819590
1.228,491.551,0.849036
1.232,491.948,0.884498
1.236,492.353,0.904357
1.240,492.619,0.910989
1.244,492.905,0.919365
1.248,493.233,0.939732
1.252,493.560,0.953367
1.256,493.890,0.962913
1.260,494.252,0.970542
1.264,494.657,0.974722
1.268,495.190,0.975376
1.272,495.855,0.974193
1.276,496.573,0.970827
1.280,497.186,0.965621
1.284,497.557,0.961572
1.288,497.598,0.961117
1.292,497.393,0.963453
1.296,497.010,0.966151
1.300,496.499,0.969930
1.304,495.915,0.973437
1.308,495.317,0.974635
1.312,494.657,0.971076
1.316,493.842,0.961559
1.320,492.778,0.934332
1.324,491.623,0.931886
1.328,490.622,0.945776
1.332,489.997,0.955399
1.336,489.405,0.955354
1.340,488.809,0.946964
1.344,488.178,0.928919
1.348,487.416,0.901138
1.352,486.700,0.915037
1.356,486.359,0.922105
1.360,486.057,0.926134
1.364,486.204,0.925762
1.368,486.634,0.925817
1.372,487.255,0.918852
1.376,487.942,0.928502
1.380,488.746,0.947760
1.384,489.763,0.958601
1.388,490.699,0.957926
1.392,491.588,0.951275
1.396,492.456,0.937071
1.400,493.281,0.948708
1.404,494.063,0.962926
1.408,494.819,0.969876
1.412,495.677,0.971726
1.416,496.425,0.969687
1.420,496.928,0.967141
1.424,497.323,0.963551
1.428,497.736,0.958916
1.432,497.933,0.955666
1.436,497.961,0.955260
1.440,497.877,0.956132
1.444,497.670,0.957872
1.448,497.200,0.962342
1.452,496.479,0.966391
1.456,495.641,0.968551
1.460,494.772,0.968398
1.464,493.973,0.962993
1.468,493.339,0.953875
1.472,492.899,0.943826
1.476,492.583,0.938425
1.480,492.237,0.943342
1.484,491.877,0.948101
1.488,491.655,0.953680
1.492,491.552,0.958624
1.496,491.641,0.959961
1.500,491.915,0.957392
1.504,492.384,0.948669
1.508,492.920,0.958088
1.512,493.344,0.965195
1.516,493.850,0.970385
1.520,494.356,0.973753
1.524,494.915,0.975236
1.528,495.486,0.974348
1.532,495.812,0.972135
1.536,496.048,0.970420
1.540,496.241,0.965984
1.544,496.095,0.961817
1.548,495.893,0.956988
1.552,495.321,0.952820
1.556,494.744,0.946483
1.560,494.180,0.938015
1.564,493.860,0.933344
1.568,493.570,0.922022
1.572,492.921,0.903788
1.576,492.584,0.877011
1.580,491.866,0.858153
1.584,491.335,0.865804
1.588,490.931,0.859319
1.592,490.377,0.828849
1.596,490.051,0.785442
1.600,490.285,0.644941
1.604,443.540,0.587457
1.608,443.243,0.754151
1.612,443.091,0.833704
1.616,443.008,0.852597
1.620,442.905,0.860457
1.624,442.881,0.879504
1.628,442.893,0.876393
1.632,442.912,0.894656
1.636,442.559,0.892044
1.640,442.417,0.881394
1.644,442.221,0.888429
1.648,441.798,0.890379
1.652,441.540,0.893751
1.656,440.913,0.901307
1.660,440.697,0.883080
1.664,440.315,0.880945
1.668,439.590,0.874012
1.672,438.670,0.886425
1.676,437.165,0.918969
1.680,435.551,0.916730
1.684,434.171,0.896776
1.688,432.616,0.871182
1.692,432.172,0.800797
1.696,430.591,0.641982
1.700,400.105,0.572787
1.704,398.191,0.818080
1.708,397.247,0.910044
1.712,397.012,0.933090
1.716,396.849,0.943395
1.720,396.673,0.953638
1.724,396.832,0.958688
1.728,397.136,0.962833
1.732,397.305,0.965492
1.736,397.583,0.966406
1.740,397.640,0.969557
1.744,397.707,0.968138
1.748,397.706,0.967396
1.752,397.605,0.965347
1.756,397.724,0.966170
1.760,397.737,0.968826
1.764,397.668,0.968817
1.768,397.660,0.968765
1.772,397.647,0.965985
1.776,397.620,0.966861
1.780,397.569,0.966713
1.784,397.430,0.964032
1.788,397.105,0.962021
1.792,396.730,0.954596
1.796,396.099,0.939925
1.800,395.330,0.930348
1.804,394.371,0.945623
1.808,393.370,0.949764
1.812,392.702,0.931553
1.816,392.171,0.905849
1.820,392.278,0.876623
1.824,392.828,0.838072
1.828,393.397,0.812129
1.832,394.699,0.708767
1.836,395.832,0.554857
1.840,361.836,0.376564
1.844,362.660,0.597454
1.848,363.777,0.777826
1.852,364.225,0.847718
1.856,365.028,0.883812
1.860,365.873,0.916676
1.864,366.514,0.938426
1.868,367.225,0.949184
1.872,367.543,0.949897
1.876,367.295,0.950545
1.880,367.439,0.949914
1.884,367.637,0.944570
1.888,368.204,0.935316
1.892,368.337,0.923177
1.896,367.875,0.905701
1.900,367.394,0.857434
1.904,366.596,0.788041
1.908,365.686,0.692395
1.912,364.381,0.673795
1.916,363.106,0.597898
1.920,360.830,0.458145
1.924,356.174,0.317933
1.928,322.989,0.326163
1.932,321.946,0.627292
1.936,322.521,0.731066
1.940,324.072,0.778534
1.944,325.668,0.812575
1.948,327.375,0.872870
1.952,328.851,0.891343
1.956,329.751,0.935347
1.960,330.467,0.956207
1.964,331.097,0.961779
1.968,331.446,0.962915
1.972,331.401,0.965809
1.976,331.070,0.968418
1.980,330.940,0.970142
1.984,330.836,0.971318
1.988,330.392,0.968767
1.992,330.122,0.966154
1.996,329.781,0.958498
2.000,329.245,0.943656
2.004,328.764,0.921791
2.008,328.204,0.910369
2.012,327.589,0.906867
2.016,327.859,0.867544
2.020,328.262,0.814612
2.024,328.962,0.798049
2.028,329.463,0.730803
2.032,329.919,0.685188
2.036,328.882,0.586129
2.040,327.467,0.530287
2.044,326.581,0.630796
2.048,325.861,0.576754
2.052,325.064,0.516580
2.056,294.230,0.350175
2.060,293.836,0.588594
2.064,293.597,0.790629
2.068,293.554,0.841902
2.072,293.390,0.886458
2.076,293.443,0.921262
2.080,293.601,0.946622
2.084,293.896,0.959456
2.088,294.144,0.967456
2.092,294.245,0.972164
2.096,294.316,0.974735
2.100,294.389,0.977052
2.104,294.316,0.974947
2.108,294.227,0.971603
2.112,293.904,0.963102
2.116,293.680,0.945887
2.120,293.414,0.916385
2.124,293.208,0.877899
2.128,293.228,0.837920
2.132,293.106,0.766809
2.136,291.575,0.650019
2.140,289.899,0.568737
2.144,285.999,0.536366
2.148,283.345,0.577354
2.152,280.835,0.619462
2.156,279.797,0.668194
2.160,279.180,0.769085
2.164,278.847,0.850250
2.168,278.699,0.888937
2.172,278.676,0.907861
2.176,278.443,0.935300
2.180,278.222,0.950719
2.184,278.154,0.954307
2.188,278.079,0.953763
2.192,278.117,0.956176
2.196,278.039,0.958053
2.200,277.877,0.960317
2.204,277.582,0.957808
2.208,277.324,0.950496
2.212,277.031,0.945371
2.216,276.858,0.940640
2.220,276.814,0.937751
2.224,276.517,0.924889
2.228,276.198,0.913740
2.232,275.732,0.923331
2.236,275.542,0.913415
2.240,275.403,0.902848
2.244,275.464,0.873964
2.248,275.296,0.863422
2.252,275.067,0.814856
2.256,275.192,0.694146
2.260,275.002,0.368236
